1	0	0	1.00E-06	23.8	3.9
0	1	0	1.00E-06	23.8	3.9
0	0	1	1.00E-06	23.8	3.9
1	0	0	0.02	    23.8	3.9
0	1	0	0.02	    23.8	3.9
0	0	1	0.02	    23.8	3.9
1	0	0	0.05	    23.8	3.9
0	1	0	0.05	    23.8	3.9
0	0	1	0.05	    23.8	3.9
1	0	0	0.075	    23.8	3.9
0	1	0	0.075	    23.8	3.9
0	0	1	0.075	    23.8	3.9
1	0	0	0.1	        23.8    3.9
0	1	0	0.1	        23.8	3.9
0	0	1	0.1	        23.8	3.9
1	0	0	0.15	    23.8	3.9
0	1	0	0.15	    23.8	3.9
0	0	1	0.15	    23.8	3.9
1	0	0	0.2	        23.8	3.9
0	1	0	0.2	        23.8	3.9
0	0	1	0.2	        23.8	3.9
1	0	0	0.3	        23.8	3.9
0	1	0	0.3	        23.8	3.9
0	0	1	0.3	        23.8	3.9
1	0	0	0.4	        23.8	3.9
0	1	0	0.4	        23.8	3.9
0	0	1	0.4	        23.8	3.9
1	0	0	0.5	        23.8	3.9
0	1	0	0.5	        23.8	3.9
0	0	1	0.5	        23.8	3.9
1	0	0	0.6	        23.8	3.9
0	1	0	0.6	        23.8	3.9
0	0	1	0.6	        23.8	3.9
1	0	0	0.8	        23.8	3.9
0	1	0	0.8	        23.8	3.9
0	0	1	0.8	        23.8	3.9
1	0	0	1.0	        23.8	3.9
0	1	0	1.0	        23.8	3.9
0	0	1	1.0	        23.8	3.9
1	0	0	1.2	        23.8	3.9
0	1	0	1.2	        23.8	3.9
0	0	1	1.2	        23.8	3.9
1	0	0	1.6	        23.8	3.9
0	1	0	1.6	        23.8	3.9
0	0	1	1.6	        23.8	3.9
